RUN	computerdatabase.BasicSimulation	basicsimulation	1632307671280	first try	3.6.1
USER	Scenario Name	START	1632307671886
REQUEST		request_1	1632307671905	1632307672128	OK	 
REQUEST		request_1 Redirect 1	1632307672132	1632307672242	OK	 
REQUEST		request_2	1632307679256	1632307679366	OK	 
REQUEST		request_3	1632307681372	1632307681481	OK	 
REQUEST		request_4	1632307684486	1632307684595	OK	 
REQUEST		request_4 Redirect 1	1632307684596	1632307684706	OK	 
REQUEST		request_5	1632307686722	1632307686832	OK	 
REQUEST		request_6	1632307687504	1632307687614	OK	 
REQUEST		request_7	1632307688253	1632307688364	OK	 
REQUEST		request_8	1632307689111	1632307689221	OK	 
REQUEST		request_9	1632307694233	1632307694342	OK	 
REQUEST		request_10	1632307695361	1632307695471	OK	 
REQUEST		request_10 Redirect 1	1632307695476	1632307695586	OK	 
USER	Scenario Name	END	1632307695588
